day, hour, info, day of the week
1,4.7,10.5,M
2,5.2,12.06,T
3,5,11.35,W
4,5.1,11.44,T
5,4.4,10.05,F
6,0,0,S
7,3.2,7.25,S
8,5.4,12.32,M
9,5.6,12.51,T
10,4.8,11.11,W
11,5,11.28,T
12,4.8,11.04,F
13,0,0,S
14,0,0,S
15,5.2,12.01,M
16,5.2,12.01,T
17,4.3,9.58,W
18,5.2,12.05,T
19,3.9,8.56,F
20,0,0,S
21,0,0,S
22,5.5,12.48,M
23,5.7,13.04,T
24,2.2,4.59,W
25,5.4,12.22,T
26,4.2,9.4,F
27,0,0,S
28,0,0,S
